StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,network_1,network_2,network_3,network_4,network_5,network_6,network_7,network_8,network_9,network_10,network_11,network_12,network_13,network_14,network_15,network_16,network_17,network_18,network_19,network_20,network_21,network_22,network_23,network_24,network_25,network_26,network_27,network_28,network_29,network_30,network_31,network_32,network_33,network_34,consent,pseudonym,FullName,NodeID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please select anyone that you've turned to for advice or for support: - 1 ZKC,Please select anyone that you've turned to for advice or for support: - 2 ZKC,Please select anyone that you've turned to for advice or for support: - 3 ZKC,Please select anyone that you've turned to for advice or for support: - 4 ZKC,Please select anyone that you've turned to for advice or for support: - 5 ZKC,Please select anyone that you've turned to for advice or for support: - 6 ZKC,Please select anyone that you've turned to for advice or for support: - 7 ZKC,Please select anyone that you've turned to for advice or for support: - 8 ZKC,Please select anyone that you've turned to for advice or for support: - 9 ZKC,Please select anyone that you've turned to for advice or for support: - 10 ZKC,Please select anyone that you've turned to for advice or for support: - 11 ZKC,Please select anyone that you've turned to for advice or for support: - 12 ZKC,Please select anyone that you've turned to for advice or for support: - 13 ZKC,Please select anyone that you've turned to for advice or for support: - 14 ZKC,Please select anyone that you've turned to for advice or for support: - 15 ZKC,Please select anyone that you've turned to for advice or for support: - 16 ZKC,Please select anyone that you've turned to for advice or for support: - 17 ZKC,Please select anyone that you've turned to for advice or for support: - 18 ZKC,Please select anyone that you've turned to for advice or for support: - 19 ZKC,Please select anyone that you've turned to for advice or for support: - 20 ZKC,Please select anyone that you've turned to for advice or for support: - 21 ZKC,Please select anyone that you've turned to for advice or for support: - 22 ZKC,Please select anyone that you've turned to for advice or for support: - 23 ZKC,Please select anyone that you've turned to for advice or for support: - 24 ZKC,Please select anyone that you've turned to for advice or for support: - 25 ZKC,Please select anyone that you've turned to for advice or for support: - 26 ZKC,Please select anyone that you've turned to for advice or for support: - 27 ZKC,Please select anyone that you've turned to for advice or for support: - 28 ZKC,Please select anyone that you've turned to for advice or for support: - 29 ZKC,Please select anyone that you've turned to for advice or for support: - 30 ZKC,Please select anyone that you've turned to for advice or for support: - 31 ZKC,Please select anyone that you've turned to for advice or for support: - 32 ZKC,Please select anyone that you've turned to for advice or for support: - 33 ZKC,Please select anyone that you've turned to for advice or for support: - 34 ZKC,"When I discuss this network in class, I may want to highlight the positions of a few individual students in the network.
Do you agree to let your name appear on the network map?","When I discuss this network in class, I may label everyone with a pseudonym (of your choice), so that you can find yourself without others identifying you.

 

I recommend something that others can't connect to you (e.g. NOT your initials, or your birthday). Here are two random suggestions: [Field-sudo1] or [Field-sudo2].



Enter a pseudonym below, and write it down for class (or just leave it blank):",FullName,NodeID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID1_13""}","{""ImportId"":""QID1_14""}","{""ImportId"":""QID1_15""}","{""ImportId"":""QID1_16""}","{""ImportId"":""QID1_17""}","{""ImportId"":""QID1_18""}","{""ImportId"":""QID1_19""}","{""ImportId"":""QID1_20""}","{""ImportId"":""QID1_21""}","{""ImportId"":""QID1_22""}","{""ImportId"":""QID1_23""}","{""ImportId"":""QID1_24""}","{""ImportId"":""QID1_25""}","{""ImportId"":""QID1_26""}","{""ImportId"":""QID1_27""}","{""ImportId"":""QID1_28""}","{""ImportId"":""QID1_29""}","{""ImportId"":""QID1_30""}","{""ImportId"":""QID1_31""}","{""ImportId"":""QID1_32""}","{""ImportId"":""QID1_33""}","{""ImportId"":""QID1_34""}","{""ImportId"":""QID2""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""FullName""}","{""ImportId"":""NodeID""}"
2/3/21 21:25,2/3/21 21:26,IP Address,193.37.33.198,100,22,TRUE,2/3/21 21:26,R_9zxPxjun0VydRTP,ZKC,27,avashevko+27+zkc@gmail.com,,1.302902222,103.8569946,email,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advice,,,,"Advice,Support",I do not agree,bell-stream,27 ZKC,27
2/3/21 21:26,2/3/21 21:27,IP Address,193.37.33.198,100,37,TRUE,2/3/21 21:27,R_3GxZw3wWck7tbQ0,ZKC,22,avashevko+22+zkc@gmail.com,,1.302902222,103.8569946,email,EN,Advice,"Advice,Support",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I agree,canvas-information,22 ZKC,22
2/3/21 21:27,2/3/21 21:28,IP Address,193.37.33.198,100,46,TRUE,2/3/21 21:28,R_2fkP17ljV0tS3o7,ZKC,1,avashevko+1+zkc@gmail.com,,1.302902222,103.8569946,email,EN,,Advice,Advice,Advice,"Advice,Support","Advice,Support","Advice,Support","Advice,Support","Advice,Support",,Advice,Advice,Advice,Advice,,,,"Advice,Support",,"Advice,Support",,Advice,,,,,,,,,,Advice,,,I agree,juror-language,1 ZKC,1
2/3/21 21:29,2/3/21 21:30,IP Address,193.37.33.198,100,33,TRUE,2/3/21 21:30,R_1dNCLd615FdP8sk,ZKC,3,avashevko+3+zkc@gmail.com,,1.302902222,103.8569946,email,EN,"Advice,Support","Advice,Support",,"Advice,Support",,,,"Advice,Support","Advice,Support",Advice,,,,"Advice,Support",,,,,,,,,,,,,,"Advice,Support",,,,,Advice,,I agree,design-baseball,3 ZKC,3
2/3/21 21:30,2/3/21 21:30,IP Address,193.37.33.198,100,23,TRUE,2/3/21 21:30,R_1NhlcQLY25vHorE,ZKC,4,avashevko+4+zkc@gmail.com,,1.302902222,103.8569946,email,EN,Advice,Advice,"Advice,Support",,,,,Advice,,,,,"Advice,Support",Advice,,,,,,,,,,,,,,,,,,,,,I do not agree,lover-implication,4 ZKC,4
2/3/21 21:30,2/3/21 21:31,IP Address,193.37.33.198,100,18,TRUE,2/3/21 21:31,R_1ouU63jfTOCeQEG,ZKC,5,avashevko+5+zkc@gmail.com,,1.302902222,103.8569946,email,EN,"Advice,Support",,,,,,Advice,,,,Advice,,,,,,,,,,,,,,,,,,,,,,,,I agree,workshop-mortgage,5 ZKC,5
2/3/21 21:31,2/3/21 21:31,IP Address,193.37.33.198,100,28,TRUE,2/3/21 21:31,R_1FfzL4NjiVWY2bD,ZKC,9,avashevko+9+zkc@gmail.com,,1.302902222,103.8569946,email,EN,Advice,,"Advice,Support",,,,,,,,,,,,,,,,,,,,,,,,,,,,Advice,,Advice,Advice,I do not agree,shore-columnist,9 ZKC,9
2/3/21 21:32,2/3/21 21:32,IP Address,193.37.33.198,100,22,TRUE,2/3/21 21:32,R_3fP13DVLKDXzR7X,ZKC,7,avashevko+7+zkc@gmail.com,,1.302902222,103.8569946,email,EN,"Advice,Support",,,,"Advice,Support","Advice,Support",,,,,,,,,,,"Advice,Support",,,,,,,,,,,,,,,,,,I do not agree,brush-agreement,7 ZKC,7
